# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=25 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=2000 measure=2000 seed=2026091426 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
phase,checkpoint,absolute_time,j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
burnin,4,2000,25,0.47000304977063934,0.03337021731975913,,,256
measurement,4,4000,1,0.482706817194412,0.028039481945991148,-0.011395508330679149,0.043544351892133494,256
measurement,4,4000,2,0.44882778453131777,0.028269365286055441,0.0038258662789303344,0.045131114838221083,256
measurement,4,4000,3,0.46367478433830911,0.029374729630311826,0.034894911488663638,0.045862838828169973,256
measurement,4,4000,4,0.48435248633143146,0.028594072493570266,0.051957967549242312,0.044188250404986175,256
measurement,4,4000,5,0.50001263405329155,0.03317670210138559,-0.042546172839138308,0.044271972534296836,256
measurement,4,4000,6,0.45265070526147611,0.028854956079118442,0.0079582690668758005,0.043136363719989336,256
measurement,4,4000,7,0.46853236792480857,0.031041778155694116,-0.0090470150817054673,0.043169740428194714,256
measurement,4,4000,8,0.46677089147488005,0.030365909525300511,-0.026088588423590409,0.044699713673689495,256
measurement,4,4000,9,0.55237794608729018,0.039680778113301431,0.067787631168130247,0.043945828671865542,256
measurement,4,4000,10,0.52713152692786025,0.037500145121635881,0.046532491094694706,0.044698724058584306,256
measurement,4,4000,11,0.50839823469800649,0.038025130865081642,0.079945810315621202,0.043688755572453351,256
measurement,4,4000,12,0.49501226227312145,0.031255652296558217,0.044242152493097819,0.043433982287420916,256
measurement,4,4000,13,0.55054801098413009,0.034714184530377279,-0.028532651958812494,0.044265032864043895,256
measurement,4,4000,14,0.56624898751852015,0.041349695419556576,-0.025291105781434453,0.043481719828818793,256
measurement,4,4000,15,0.50303208452987747,0.030012145556177188,0.10176274341938552,0.042591633579472273,256
measurement,4,4000,16,0.51827276864969463,0.034318241262774087,0.11896439651900437,0.041780782822551217,256
measurement,4,4000,17,0.45539249107059732,0.029594195034532141,0.035893938759727462,0.044970867053549676,256
measurement,4,4000,18,0.54711257921098877,0.037119530930676208,0.058937422967574093,0.043766048536039701,256
measurement,4,4000,19,0.47476504472797387,0.033785746763368339,-0.034847472797082446,0.04351736167565752,256
measurement,4,4000,20,0.54852045887651002,0.043532386334455477,-0.052389553165994585,0.044054145866618988,256
measurement,4,4000,21,0.44979663344929577,0.031292407964190826,0.080202844372252002,0.044372554535558426,256
measurement,4,4000,22,0.46505305460686941,0.02926217240196018,-0.0064203615766018629,0.044756522750071859,256
measurement,4,4000,23,0.49059775093701319,0.040352539017003052,-0.065151196388796961,0.041572474457725814,256
measurement,4,4000,24,0.5436478042820454,0.03671033984975465,0.04059726970626798,0.044627380367473407,256
measurement,4,4000,25,0.46777731128787536,0.032744033661194355,,,256
