# bc_id=4
# bc_label=OPEN_left_BC1_right_free
# left:b_I=2*gamma*(2*T_left-(2*M*I_1-I_1^2+2*I_1*I_2*cos(delta_1)));right:b_I=0
# left:b_phi=gamma*(2*I_2*sin(delta_1));right:b_phi=0
# left:sigma_I=2*sqrt(2*gamma*T_left*I_1),sigma_phi=sqrt(2*gamma*T_left/I_1);right:sigma_I=0,sigma_phi=0
# right_boundary_bath=none;right_b_I=right_b_phi=right_sigma_I=right_sigma_phi=0
# n=100 T1=6 Tn=0 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026091501 requested_trajectories=256 threads=2 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
j,mean_I_q3,mean_I_q4,mean_delta_I_q4_minus_q3,se_delta_I,relative_delta_I,z_delta_I,mean_sin_q3,mean_sin_q4,mean_delta_sin_q4_minus_q3,se_delta_sin,z_delta_sin,sample_count
69,0.26286650383296006,0.27274857167656663,0.0098820678436064516,0.0067048413820615374,0.036899886860748694,1.4738704885764222,0.00045403760141146828,-0.0019828068180310458,-0.0024368444194425186,0.0029181497009561071,-0.83506491070149935,256
70,0.26481579967718777,0.27181937732029809,0.0070035776431104811,0.007160565251457719,0.026101820914148879,0.97807608717548111,0.0011468933105197004,-1.0552370005203563e-05,-0.0011574456805249012,0.0030185868494367672,-0.38343958224719188,256
71,0.26663403819282222,0.2726142373477678,0.0059801991549455254,0.0072116909875230891,0.022179761813611535,0.8292367442381875,0.0007573949424575097,-0.0011446529147586405,-0.001902047857216151,0.0030237034237843925,-0.62904577289382269,256
72,0.26901548883900411,0.27158832074211747,0.0025728319031132684,0.0069179286411575457,0.0095183639386736355,0.37190784070920513,-0.0012899003114707353,-0.0030397585576321809,-0.0017498582461614486,0.0030184259626396199,-0.57972541576974568,256
73,0.27042378601891126,0.27206876715199435,0.0016449811330830366,0.0071285216406572725,0.006064529820614166,0.23076048807945598,0.00018928001575699158,-0.0029224605037652686,-0.0031117405195222607,0.0028689762907490595,-1.084617021603137,256
74,0.26533771722728411,0.2739795649033987,0.008641847676114452,0.0064173243601716593,0.032047360477576656,1.3466434281784205,0.0034325507595171514,-0.0033164006980964996,-0.0067489514576136445,0.0027988336197163973,-2.4113442864451184,256
75,0.26604240421871134,0.2725633686292831,0.0065209644105716476,0.0068753792087037175,0.024214238834057194,0.94845159992289485,0.0018072160825426044,0.0010297151416113872,-0.00077750094093121704,0.0029983870958079847,-0.2593063924328628,256
76,0.27204695854842159,0.2709671969890548,-0.0010797615593668918,0.0075819110273193041,-0.0039769186433018192,-0.14241285020046685,-0.00056062197386115629,0.0019657704955088322,0.0025263924693699879,0.0026944321631893467,0.93763446854774268,256
77,0.27349817253630221,0.27481314206196117,0.0013149695256593329,0.0075765606071910444,0.0047964340353719836,0.17355758025762674,0.0017513800702837711,0.002994436717857589,0.0012430566475738188,0.0027756061737327152,0.44785051256105268,256
78,0.26799366586196322,0.27397451922200677,0.0059808533600436038,0.0069475985427945308,0.022070865134332412,0.86085189338500934,-0.0011263357698125755,0.0040763703096473028,0.0052027060794598828,0.0028803464058460015,1.8062779077198421,256
79,0.26673197344322258,0.27343234600254473,0.0067003725593223085,0.0068400878579634207,0.024808645510674198,0.97957404911423007,-0.0018713882363106766,0.0033723585484592027,0.0052437467847698798,0.0030548073719651441,1.7165556273345643,256
80,0.26823132371718572,0.27514105129838728,0.0069097275812015401,0.0075303291696803883,0.025432752561274422,0.91758639303875367,-0.0015788099876458811,0.0025827072096108131,0.0041615171972566971,0.0027864056224643765,1.4935073212980861,256
81,0.26898413019148176,0.27561545208183869,0.0066313218903570875,0.0069146187297066397,0.024353018644178825,0.95902928991117753,0.0013893022737819457,0.00015174408361376556,-0.0012375581901681808,0.0029241096461353456,-0.42322564470309848,256
82,0.27018964976848453,0.27525924510793515,0.0050695953394507753,0.006577529276788948,0.018588708812397079,0.77074462554512202,0.0027080620032642411,-0.0010993437525234325,-0.0038074057557876744,0.0028966420196303421,-1.31442053591198,256
83,0.2701621867790357,0.27487508778967218,0.0047129010106364468,0.0066540138784116666,0.017293866788710189,0.70827940800169031,-4.0572589744386413e-05,-0.00086387718601993327,-0.00082330459627554756,0.0031451163678392793,-0.26177237977403189,256
84,0.26627928953031832,0.27415964030259221,0.0078803507722739665,0.0072610751542005253,0.029162779871207144,1.0852870415086107,-0.00059094625309125863,0.0031054703445310221,0.0036964165976222786,0.0028099487173298974,1.3154747539786886,256
85,0.26457916243942714,0.27700287071438295,0.012423708274956074,0.007444247795158513,0.045879322113433998,1.6689004204072886,0.00032702981879164847,-0.0023305083712954525,-0.0026575381900871037,0.0029079657936149639,-0.91388220450263702,256
86,0.26941683076968315,0.27459433524353211,0.005177504473849264,0.0077664425328095952,0.019034552219920762,0.66665071581701962,0.0023687892532154981,-0.00059742911580952388,-0.0029662183690250241,0.0027347198694219537,-1.0846516318514199,256
87,0.27283899808274131,0.27435916637461921,0.001520168291877995,0.0072261615906660352,0.0055561892952820813,0.21037009383260707,0.00056007782891433905,0.0019711042298823172,0.001411026400967977,0.0028361178989980552,0.49752036100701769,256
88,0.27248648940452774,0.27493337693435871,0.0024468875298308316,0.0069450684475253037,0.0089397103769560966,0.35232014606029072,0.0015724114163303468,0.0028368312980210967,0.0012644198816907472,0.0030744177020403675,0.41127133793550646,256
89,0.27421764322283326,0.27203359990309789,-0.0021840433197355272,0.0071781116953070229,-0.0079964790825456274,-0.30426432639149831,0.0020228865029336698,-0.00045779392804699696,-0.0024806804309806668,0.0029518990822328278,-0.84036762838933865,256
90,0.27419682228148368,0.27066187067519148,-0.0035349516062924934,0.0073083092068942073,-0.012975663789486707,-0.48368938782144555,0.0023796140975768255,0.00015064467166272182,-0.0022289694259141038,0.0028350648515932482,-0.78621461680549165,256
91,0.27496960877262128,0.26763978402200239,-0.00732982475061854,0.0070284430153993481,-0.027016947542568108,-1.0428802986036685,0.00034152483152185588,0.00063422351335314228,0.00029269868183128542,0.0029061699632810111,0.10071629860933327,256
92,0.27467287078986991,0.26747845224219197,-0.0071944185476777662,0.007140749386305139,-0.026540260041945159,-1.0075159004285399,-0.0027823161823596261,0.00044927574749921721,0.0032315919298588473,0.0029960104137509956,1.0786317414073685,256
93,0.27616666997676576,0.26333760002214773,-0.012829069954617958,0.0074031394035397454,-0.047558733704346011,-1.7329229203064651,0.00024499143355242157,0.0017584843404880165,0.0015134929069355947,0.0027963636199980694,0.54123608822254654,256
94,0.27785484737047844,0.26458196018111185,-0.013272887189366533,0.0082779221820444525,-0.048938003485702507,-1.6034080651490785,0.00041978481140026493,0.0020569277914164216,0.0016371429800161564,0.0030786296518617307,0.53177652564547073,256
95,0.27587793238978753,0.26940469496673741,-0.0064732374230501866,0.0085917344319808263,-0.023742687180157516,-0.75342615327529161,-0.00017932978206380585,0.00055248641942728959,0.00073181620149109653,0.0025778915541887107,0.2838816862959182,256
96,0.27689393904225351,0.26848974955541155,-0.0084041894868419932,0.0087892922651604845,-0.03081936501787037,-0.95618500708583964,0.00075402656674708945,-0.0018673038326341969,-0.002621330399381287,0.0026615967350847422,-0.98487136117479002,256
97,0.27979260945886136,0.2695460032043151,-0.010246606254546226,0.0095048486441234436,-0.037305246776195095,-1.0780399181718048,-0.00022020344119903665,0.0021673754699201107,0.0023875789111191472,0.0026808706736618886,0.89059831739584638,256
98,0.27849546994155422,0.27024479756411901,-0.0082506723774352295,0.0094731975099772436,-0.030071321045707401,-0.87094905059728345,0.0017780731822244946,0.0021625761327411716,0.00038450295051667297,0.0024874637771928462,0.15457630138863465,256
99,0.26630012887297133,0.25994862641247329,-0.0063515024604980791,0.0084411409562452338,-0.024138783785067331,-0.75244596594479074,-0.00074387375156558162,0.0012354342094462313,0.0019793079610118127,0.0027441789548425569,0.72127510398656658,256
100,0.2236172464821026,0.22020768213569542,-0.0034095643464072244,0.0047085355079671222,-0.015364456237398001,-0.72412416570673377,,,,,,256
