theta1,theta3,pdf,log_pdf
0.10472,-3.03687,0.0255255,-3.66808
0.10472,-2.82743,0.0248803,-3.69368
0.10472,-2.61799,0.0236661,-3.74371
0.10472,-2.40855,0.0221783,-3.80864
0.10472,-2.19911,0.0206189,-3.88155
0.10472,-1.98968,0.0190162,-3.96246
0.10472,-1.78024,0.0175303,-4.04383
0.10472,-1.5708,0.0162793,-4.11786
0.10472,-1.36136,0.0152724,-4.18171
0.10472,-1.15192,0.0144699,-4.23569
0.10472,-0.942478,0.0138121,-4.28221
0.10472,-0.733038,0.0133186,-4.31859
0.10472,-0.523599,0.0129731,-4.34487
0.10472,-0.314159,0.0127659,-4.36098
0.10472,-0.10472,0.012653,-4.36986
0.10472,0.10472,0.0126587,-4.36941
0.10472,0.314159,0.0127844,-4.35953
0.10472,0.523599,0.0130109,-4.34197
0.10472,0.733038,0.0133631,-4.31526
0.10472,0.942478,0.013858,-4.27889
0.10472,1.15192,0.0144672,-4.23587
0.10472,1.36136,0.0152699,-4.18187
0.10472,1.5708,0.0162217,-4.12141
0.10472,1.78024,0.017373,-4.05284
0.10472,1.98968,0.0187153,-3.97841
0.10472,2.19911,0.0202228,-3.90095
0.10472,2.40855,0.0218172,-3.82506
0.10472,2.61799,0.0233825,-3.75577
0.10472,2.82743,0.0246782,-3.70184
0.10472,3.03687,0.0254504,-3.67102
0.314159,-3.03687,0.0257705,-3.65852
0.314159,-2.82743,0.0251013,-3.68484
0.314159,-2.61799,0.0238889,-3.73434
0.314159,-2.40855,0.0223954,-3.7989
0.314159,-2.19911,0.0208161,-3.87203
0.314159,-1.98968,0.0191897,-3.95338
0.314159,-1.78024,0.0177018,-4.03409
0.314159,-1.5708,0.0164464,-4.10765
0.314159,-1.36136,0.0154206,-4.17205
0.314159,-1.15192,0.014606,-4.22632
0.314159,-0.942478,0.0139402,-4.27298
0.314159,-0.733038,0.0134409,-4.30945
0.314159,-0.523599,0.0130893,-4.33596
0.314159,-0.314159,0.0128605,-4.3536
