case,delta_beta,t,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
dbeta_0p057143,0.05714285714285716,160,16,58.68155274296049,1409,43,3.489435396205118,0.15480806555679608
dbeta_0p057143,0.05714285714285716,160,17,62.349149789395526,1431,48,3.39492776864856,0.14673835678819655
dbeta_0p057143,0.05714285714285716,160,18,66.01674683583056,1478,28,3.966240591332943,0.19076392662333702
dbeta_0p057143,0.05714285714285716,160,19,69.68434388226558,1559,30,3.950602487395621,0.18432246241792322
dbeta_0p057143,0.05714285714285716,160,20,73.35194092870061,1708,20,4.447346100794524,0.2249121608399084
dbeta_0p057143,0.05714285714285716,160,21,77.01953797513565,1764,24,4.297285406218791,0.20550805359085797
dbeta_0p057143,0.05714285714285716,160,22,80.68713502157067,1850,24,4.344887087724425,0.20544392716069074
dbeta_0p057143,0.05714285714285716,160,23,84.3547320680057,1963,14,4.943171864661203,0.2682125943706883
dbeta_0p057143,0.05714285714285716,160,24,88.02232911444074,1889,14,4.904745537886251,0.26824979413457256
dbeta_0p057143,0.05714285714285716,160,25,91.68992616087577,2045,12,5.138246418688902,0.28952086434028473
dbeta_0p057143,0.05714285714285716,320,1,5.164566859822555,36,24,0.4054651081081644,0.26352313834736496
dbeta_0p057143,0.05714285714285716,320,2,10.32913371964511,22,21,0.04652001563489291,0.30507965037608303
dbeta_0p057143,0.05714285714285716,320,3,15.493700579467665,37,18,0.7205461547480596,0.2873718541934519
dbeta_0p057143,0.05714285714285716,320,4,20.65826743929022,39,10,1.3609765531356006,0.3544587784792833
dbeta_0p125000,0.125,20,1,1.3858536074092007,10721,8950,0.18055090258733864,0.014318055896313076
dbeta_0p125000,0.125,20,2,2.7717072148184014,11475,8134,0.344117948461576,0.014494368287752168
dbeta_0p125000,0.125,20,3,4.157560822227602,12166,7722,0.45457177805646903,0.014549790865440638
dbeta_0p125000,0.125,20,4,5.543414429636803,13020,6739,0.6585750908163432,0.015006494739035477
dbeta_0p125000,0.125,20,5,6.929268037046004,13591,6313,0.7667968095877218,0.015230935557116385
dbeta_0p125000,0.125,20,6,8.315121644455203,14371,5645,0.9344420894904844,0.015707720985840588
dbeta_0p125000,0.125,20,7,9.700975251864405,15297,5002,1.1178188982857011,0.016287796880133616
dbeta_0p125000,0.125,20,8,11.086828859273606,16169,4455,1.2890687678349049,0.016920804794763704
dbeta_0p125000,0.125,20,9,12.472682466682807,16750,4063,1.4164766412654857,0.0174878542583541
dbeta_0p125000,0.125,20,10,13.858536074092008,17443,3516,1.6016144422130674,0.01848631100950019
dbeta_0p125000,0.125,20,11,15.244389681501207,18028,3250,1.7132711084867558,0.01905679872687735
dbeta_0p125000,0.125,20,12,16.630243288910407,18552,2759,1.9057093047180815,0.020404722671544927
dbeta_0p125000,0.125,20,13,18.01609689631961,19082,2444,2.0551094410203055,0.021484196773918596
dbeta_0p125000,0.125,20,14,19.40195050372881,19549,2187,2.190393392533352,0.022547746728136607
dbeta_0p125000,0.125,20,15,20.787804111138012,20105,1881,2.369164990030344,0.02411163581151451
dbeta_0p125000,0.125,20,16,22.17365771854721,20014,1624,2.511539786928778,0.025801716440595413
dbeta_0p125000,0.125,20,17,23.55951132595641,20508,1341,2.7273994496219127,0.0281864083212278
dbeta_0p125000,0.125,20,18,24.945364933365614,20901,1174,2.8793802833101867,0.029993888662946368
dbeta_0p125000,0.125,20,19,26.331218540774813,21006,1049,2.9969707817864233,0.031636913449063345
dbeta_0p125000,0.125,20,20,27.717072148184016,20954,907,3.1399423877977735,0.03391547460098794
dbeta_0p125000,0.125,20,21,29.102925755593215,21091,739,3.351303767237413,0.03742450482866717
dbeta_0p125000,0.125,20,22,30.488779363002415,20887,684,3.418924317232767,0.03885698101747513
dbeta_0p125000,0.125,20,23,31.874632970411618,20979,546,3.6486582406270713,0.04334937768682744
