timestep,marginal,bin,center,left,right,target_density,reconstructed_density,seed_min_density,seed_max_density
coarse,log_I3,18,-4.1344543678534755,-4.1942809954297875,-4.074627740277163,0.009114741518225373,0.009241282016621106,0.00922756400106888,0.009265298713261129
coarse,log_I3,19,-4.01480111270085,-4.074627740277163,-3.954974485124538,0.010349928999305584,0.010129285798413974,0.010111398266599098,0.010158198598344026
coarse,log_I3,20,-3.895147857548226,-3.954974485124538,-3.8353212299719135,0.011676708772415091,0.011613731488146171,0.011595231210298337,0.011644059249851282
coarse,log_I3,21,-3.775494602395601,-3.8353212299719135,-3.7156679748192887,0.012859557800907116,0.012873041344192987,0.012855079667124543,0.012906725645507388
coarse,log_I3,22,-3.6558413472429763,-3.7156679748192887,-3.596014719666664,0.01434596985441042,0.014587275483601869,0.014561268043214129,0.01462721441099459
coarse,log_I3,23,-3.5361880920903515,-3.596014719666664,-3.476361464514039,0.01672475252454159,0.016786773216757426,0.016757791702315426,0.01683247282427531
coarse,log_I3,24,-3.4165348369377266,-3.476361464514039,-3.3567082093614142,0.01859323528193835,0.01816601364612346,0.018136926286654642,0.018215484420972664
coarse,log_I3,25,-3.296881581785102,-3.3567082093614142,-3.2370549542087894,0.020922296422110784,0.020915736970967633,0.020881864063166826,0.020973740177800394
coarse,log_I3,26,-3.177228326632477,-3.2370549542087894,-3.1174016990561646,0.02365174672458252,0.023306150709103718,0.023266792108743033,0.023370019402294134
coarse,log_I3,27,-3.057575071479852,-3.1174016990561646,-2.9977484439035402,0.0266141031410716,0.026340546417892092,0.026295597798961467,0.026412950334155205
coarse,log_I3,28,-2.937921816327228,-2.9977484439035402,-2.8780951887509154,0.029945445648306902,0.029759732185951935,0.029710080470027805,0.029838786973588924
coarse,log_I3,29,-2.818268561174603,-2.8780951887509154,-2.7584419335982906,0.033580351180553546,0.033438352012267074,0.03338301528411317,0.03352729170285918
coarse,log_I3,30,-2.698615306021978,-2.7584419335982906,-2.638788678445666,0.03764966586928178,0.037235179018085394,0.0371720567048524,0.037334486013977895
coarse,log_I3,31,-2.5789620508693534,-2.638788678445666,-2.519135423293041,0.04236797737010301,0.04202243299464875,0.04194796564358505,0.04213328735118745
coarse,log_I3,32,-2.4593087957167286,-2.519135423293041,-2.399482168140416,0.04660739202974272,0.0464755243516082,0.04639743680648411,0.04659811629243728
coarse,log_I3,33,-2.3396555405641037,-2.399482168140416,-2.2798289129877913,0.05202180494998627,0.05188617110218444,0.05179558805917039,0.052022362946458345
coarse,log_I3,34,-2.220002285411479,-2.2798289129877913,-2.1601756578351665,0.058888609929550834,0.05904450157723384,0.05894759725212835,0.059191681618392666
coarse,log_I3,35,-2.100349030258854,-2.1601756578351665,-2.0405224026825417,0.06665301937100208,0.06579010704441228,0.06567331046761303,0.06595625961199478
coarse,log_I3,36,-1.9806957751062293,-2.0405224026825417,-1.9208691475299169,0.0747000564564293,0.07323431020308863,0.07310472372724566,0.07341665592646987
coarse,log_I3,37,-1.8610425199536045,-1.9208691475299169,-1.801215892377292,0.08276279507763298,0.08194918684913917,0.08180629326609923,0.08214435919813841
coarse,log_I3,38,-1.7413892648009797,-1.801215892377292,-1.6815626372246673,0.09220465192453424,0.09182060558010924,0.09165318457744846,0.0920436149318711
coarse,log_I3,39,-1.6217360096483548,-1.6815626372246673,-1.5619093820720424,0.10305964699131542,0.1029162424717854,0.10272645392995328,0.10315056310719446
coarse,log_I3,40,-1.5020827544957305,-1.5619093820720424,-1.4422561269194185,0.11514459569391886,0.11384323621166069,0.11363737064688283,0.11408740425493324
coarse,log_I3,41,-1.382429499343106,-1.4422561269194185,-1.3226028717667937,0.1285092195623007,0.12774389504083392,0.12751956870329761,0.12800152878664225
