I1_I2_I3,theta1,theta3,log_density,density
1.0,-3.0892327760299634,-2.356194490192345,-6.620985612508872,0.0013321173468496714
1.0,-3.0892327760299634,-2.303834612632515,-6.628080184672554,0.0013226999897619292
1.0,-3.0892327760299634,-2.2514747350726854,-6.635419344515611,0.0013130280185974683
1.0,-3.0892327760299634,-2.199114857512855,-6.642997116632379,0.001303115795206735
1.0,-3.0892327760299634,-2.1467549799530254,-6.650810408433194,0.0012929738438562355
1.0,-3.0892327760299634,-2.0943951023931957,-6.658858758664533,0.0012826093021992256
1.0,-3.0892327760299634,-2.0420352248333655,-6.667143879036126,0.0012720266296344638
1.0,-3.0892327760299634,-1.9896753472735358,-6.675668999607857,0.00126122854214353
1.0,-3.0892327760299634,-1.9373154697137058,-6.684438045954928,0.0012502171209956767
1.0,-3.0892327760299634,-1.8849555921538759,-6.693454692986878,0.0012389950233784813
1.0,-3.0892327760299634,-1.8325957145940461,-6.702721354455413,0.0012275667088764196
1.0,-3.0892327760299634,-1.7802358370342162,-6.712238176408823,0.0012159395894403163
1.0,-3.0892327760299634,-1.7278759594743862,-6.722002105353379,0.0012041250138873029
1.0,-3.0892327760299634,-1.6755160819145565,-6.732006096818447,0.0011921390114216226
1.0,-3.0892327760299634,-1.6231562043547265,-6.74223851778024,0.0011800027408178846
1.0,-3.0892327760299634,-1.5707963267948966,-6.752682778598672,0.0011677426198239192
1.0,-3.0892327760299634,-1.5184364492350668,-6.763317209303034,0.001155390139065962
1.0,-3.0892327760299634,-1.4660765716752369,-6.774115174153363,0.0011429813921298713
1.0,-3.0892327760299634,-1.413716694115407,-6.785045400126222,0.001130556375054282
1.0,-3.0892327760299634,-1.3613568165555772,-6.796072481344322,0.0011181581219884584
1.0,-3.0892327760299634,-1.3089969389957472,-6.807157513520921,0.001105831748570359
1.0,-3.0892327760299634,-1.2566370614359172,-6.81825881023513,0.0010936234714443757
1.0,-3.0892327760299634,-1.2042771838760875,-6.829332655463344,0.0010815796630959443
1.0,-3.0892327760299634,-1.1519173063162575,-6.840334052900981,0.0010697459881950937
1.0,-3.0892327760299634,-1.0995574287564276,-6.851217440661343,0.0010581666532920074
1.0,-3.0892327760299634,-1.0471975511965979,-6.861937348490186,0.001046883787987885
1.0,-3.0892327760299634,-0.9948376736367681,-6.872448982564424,0.0010359369639911257
1.0,-3.0892327760299634,-0.9424777960769379,-6.882708729561072,0.001025362849460567
1.0,-3.0892327760299634,-0.8901179185171082,-6.892674576731318,0.0010151949898305993
1.0,-3.0892327760299634,-0.8377580409572785,-6.902306448296802,0.0010054637025624313
