case,source,sector,angle,metric,estimate,ci_low,ci_high,seed_min,seed_max
driven,legacy_density,high,theta3,circular_resultant,0.16973168277460274,0.15718187084095495,0.18168342117655692,,
driven,legacy_density,high,theta3,histogram_mode,-2.923426497090502,1.5271630954950384,-2.399827721492203,,
driven,legacy_density,high,theta3,prob_within_pi_over_6_of_theta0,0.16955609972501656,0.16338937965264172,0.17709891543210593,,
driven,legacy_density,high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20742099613861312,0.20177043262695094,0.2120082951714052,,
driven,legacy_density,high,joint,prob_both_within_pi_over_6_of_theta0,0.03841660043628726,0.03706750163142412,0.03962189150383019,,
equilibrium,direct_trajectory,low,theta1,circular_mean,3.132652214992527,3.0941529224411104,-3.1149448473229437,,
equilibrium,direct_trajectory,low,theta1,circular_resultant,0.18513920616977697,0.17629692379761588,0.19306664640195564,,
equilibrium,direct_trajectory,low,theta1,histogram_mode,-3.097959422289935,3.0106929596902186,-3.0106929596902186,,
equilibrium,direct_trajectory,low,theta1,prob_within_pi_over_6_of_theta0,0.19531805783284703,0.19253948621626607,0.19825364218865202,,
equilibrium,direct_trajectory,low,theta3,circular_mean,-3.123272829908972,3.1236950039056692,-3.0860696077436613,,
equilibrium,direct_trajectory,low,theta3,circular_resultant,0.1858917825341394,0.17430420136212163,0.19629423411557434,,
equilibrium,direct_trajectory,low,theta3,histogram_mode,3.097959422289935,3.0106929596902186,-3.0106929596902186,,
equilibrium,direct_trajectory,low,theta3,prob_within_pi_over_6_of_theta0,0.1923906551371257,0.18866614906001972,0.19582038237518826,,
equilibrium,direct_trajectory,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.18644264459162826,0.1832375383632151,0.18964029130735988,,
equilibrium,direct_trajectory,low,joint,prob_both_within_pi_over_6_of_theta0,0.038153244490434106,0.03680134325777803,0.03935751660977216,,
equilibrium,direct_trajectory,middle,theta1,circular_mean,3.1278427289655175,3.098433934472533,-3.124094025475129,,
