case,source,sector,angle,bin,theta,density
equilibrium,legacy_density,low,theta3,38,0.21816615649929116,0.11186751738376768
equilibrium,legacy_density,low,theta3,39,0.30543261909900776,0.11751058053044877
equilibrium,legacy_density,low,theta3,40,0.39269908169872414,0.11785176486126238
equilibrium,legacy_density,low,theta3,41,0.4799655442984405,0.11594733757754491
equilibrium,legacy_density,low,theta3,42,0.5672320068981569,0.1148102629419446
equilibrium,legacy_density,low,theta3,43,0.6544984694978735,0.11719508054755588
equilibrium,legacy_density,low,theta3,44,0.7417649320975901,0.11807816341503391
equilibrium,legacy_density,low,theta3,45,0.8290313946973065,0.12157767779226522
equilibrium,legacy_density,low,theta3,46,0.9162978572970228,0.12405825484341797
equilibrium,legacy_density,low,theta3,47,1.0035643198967392,0.12706930297099556
equilibrium,legacy_density,low,theta3,48,1.0908307824964556,0.12718445168625234
equilibrium,legacy_density,low,theta3,49,1.178097245096172,0.1267313466712289
equilibrium,legacy_density,low,theta3,50,1.2653637076958888,0.1344423975299287
equilibrium,legacy_density,low,theta3,51,1.3526301702956056,0.13902188623792627
equilibrium,legacy_density,low,theta3,52,1.439896632895322,0.1411145349213816
equilibrium,legacy_density,low,theta3,53,1.5271630954950384,0.1440758262499685
equilibrium,legacy_density,low,theta3,54,1.6144295580947547,0.14685146192073523
equilibrium,legacy_density,low,theta3,55,1.7016960206944711,0.15262567998753637
equilibrium,legacy_density,low,theta3,56,1.7889624832941875,0.15332192165008482
equilibrium,legacy_density,low,theta3,57,1.8762289458939039,0.1577359300094383
equilibrium,legacy_density,low,theta3,58,1.9634954084936203,0.16646360437384644
equilibrium,legacy_density,low,theta3,59,2.050761871093337,0.16720269788246014
equilibrium,legacy_density,low,theta3,60,2.138028333693054,0.17486470862131662
equilibrium,legacy_density,low,theta3,61,2.2252947962927703,0.18221600671562335
equilibrium,legacy_density,low,theta3,62,2.3125612588924866,0.1844851487120469
equilibrium,legacy_density,low,theta3,63,2.399827721492203,0.18996251324691416
equilibrium,legacy_density,low,theta3,64,2.4870941840919194,0.20059902213917447
equilibrium,legacy_density,low,theta3,65,2.574360646691636,0.20226280703231647
equilibrium,legacy_density,low,theta3,66,2.661627109291352,0.20988894170216868
equilibrium,legacy_density,low,theta3,67,2.7488935718910685,0.2183324014400076
equilibrium,legacy_density,low,theta3,68,2.8361600344907854,0.22380791965373747
equilibrium,legacy_density,low,theta3,69,2.923426497090502,0.2293032599687889
equilibrium,legacy_density,low,theta3,70,3.0106929596902186,0.23452772627172988
equilibrium,legacy_density,low,theta3,71,3.097959422289935,0.23297257091019466
equilibrium,legacy_density,middle,theta1,0,-3.097959422289935,0.22846131745394338
equilibrium,legacy_density,middle,theta1,1,-3.0106929596902186,0.2220927183632123
