affinity,case,dt,tau,k,Q_center,count_plus,count_minus,log_ratio,log_ratio_se
weak,weak_dt5e4,0.0005,5,92,61.89073424052676,135,33,1.4087672169719492,0.19419175500117844
weak,weak_dt5e4,0.0005,5,93,62.563459612706396,111,17,1.876316857256118,0.26044680535720477
weak,weak_dt5e4,0.0005,5,94,63.23618498488604,105,19,1.7095213709910828,0.2493098242572441
weak,weak_dt5e4,0.0005,5,95,63.90891035706567,103,20,1.6389967146756448,0.24435371465168618
weak,weak_dt5e4,0.0005,5,96,64.5816357292453,84,17,1.5976034547870976,0.26594791090837056
weak,weak_dt5e4,0.0005,5,97,65.25436110142495,71,12,1.777773227253315,0.31211831150316516
weak,weak_dt5e4,0.0005,5,98,65.92708647360459,80,13,1.817077277212345,0.29903691565269486
weak,weak_dt5e4,0.0005,5,99,66.59981184578423,71,10,1.9600947840472698,0.3377639812683607
weak,weak_dt5e4,0.0005,10,1,0.9276553103587546,42746,41796,0.02247498258175434,0.006878934241435508
weak,weak_dt5e4,0.0005,10,2,1.8553106207175092,42956,41383,0.03730616751479674,0.00688797117974544
weak,weak_dt5e4,0.0005,10,3,2.782965931076264,43227,40034,0.07673620695039239,0.006936314413239423
weak,weak_dt5e4,0.0005,10,4,3.7106212414350184,43299,39462,0.09279135650626699,0.006959601699732088
weak,weak_dt5e4,0.0005,10,5,4.638276551793773,42907,38505,0.10824687979512486,0.007019748826856974
weak,weak_dt5e4,0.0005,10,6,5.565931862152528,42691,36991,0.14331348537259442,0.007103361435818446
weak,weak_dt5e4,0.0005,10,7,6.493587172511282,42033,35879,0.15830285793504797,0.007187648284020051
weak,weak_dt5e4,0.0005,10,8,7.421242482870037,41894,34468,0.195111261206054,0.007272013742306443
weak,weak_dt5e4,0.0005,10,9,8.348897793228792,40956,33008,0.2157483633836743,0.0073967650235067664
weak,weak_dt5e4,0.0005,10,10,9.276553103587545,40243,31505,0.24478981230244837,0.0075226348816438355
weak,weak_dt5e4,0.0005,10,11,10.2042084139463,39532,29724,0.2851556702187146,0.007677161604066818
weak,weak_dt5e4,0.0005,10,12,11.131863724305056,38406,28381,0.3024937901950531,0.007827671333285092
weak,weak_dt5e4,0.0005,10,13,12.05951903466381,37105,27258,0.3084046754167757,0.007977281686952949
weak,weak_dt5e4,0.0005,10,14,12.987174345022565,36025,25445,0.3476938818447898,0.00818895310745771
weak,weak_dt5e4,0.0005,10,15,13.914829655381318,34536,24410,0.3470093738483076,0.00836194414630318
weak,weak_dt5e4,0.0005,10,16,14.842484965740073,33450,22617,0.391349950676563,0.0086087104209882
weak,weak_dt5e4,0.0005,10,17,15.770140276098829,32206,21370,0.410164701264748,0.008822963601596283
weak,weak_dt5e4,0.0005,10,18,16.697795586457584,31026,19808,0.44873966613995386,0.009094816364459236
weak,weak_dt5e4,0.0005,10,19,17.625450896816336,29425,18459,0.46629259671987755,0.009389292970690917
weak,weak_dt5e4,0.0005,10,20,18.55310620717509,28171,17348,0.48481585404263894,0.009650960046653216
weak,weak_dt5e4,0.0005,10,21,19.480761517533846,26381,15899,0.5063878399098113,0.010040075015214785
weak,weak_dt5e4,0.0005,10,22,20.4084168278926,25494,14882,0.5382907013856599,0.010316015951880931
weak,weak_dt5e4,0.0005,10,23,21.336072138251357,24277,13912,0.556777623020988,0.010633515035378443
weak,weak_dt5e4,0.0005,10,24,22.263727448610112,22851,12830,0.5772087014312157,0.011031957380921912
weak,weak_dt5e4,0.0005,10,25,23.191382758968864,21400,11878,0.5887029724341373,0.01144195041998374
weak,weak_dt5e4,0.0005,10,26,24.11903806932762,20275,10735,0.6358791686707324,0.011936291802000733
weak,weak_dt5e4,0.0005,10,27,25.046693379686374,19099,9812,0.6660298512647745,0.012420740051920945
weak,weak_dt5e4,0.0005,10,28,25.97434869004513,17826,9005,0.6828780870806062,0.012928544063975042
weak,weak_dt5e4,0.0005,10,29,26.902004000403885,16774,8338,0.6990066891036146,0.013399586191524052
weak,weak_dt5e4,0.0005,10,30,27.829659310762636,15627,7644,0.7150791610531376,0.013957555962324843
weak,weak_dt5e4,0.0005,10,31,28.75731462112139,14542,7055,0.7233044289230878,0.014508955040579214
weak,weak_dt5e4,0.0005,10,32,29.684969931480147,13808,6306,0.7837465732182031,0.01519871426993519
weak,weak_dt5e4,0.0005,10,33,30.612625241838902,12824,5619,0.8251647031771907,0.015998324901819624
weak,weak_dt5e4,0.0005,10,34,31.540280552197657,11709,5222,0.8074773065896504,0.016640369596796763
weak,weak_dt5e4,0.0005,10,35,32.46793586255641,10917,4800,0.8217052893842872,0.017318590872644677
weak,weak_dt5e4,0.0005,10,36,33.39559117291517,10159,4200,0.8832754868200853,0.018344757382385755
weak,weak_dt5e4,0.0005,10,37,34.32324648327392,9447,3864,0.8939943144367258,0.019095886520797918
weak,weak_dt5e4,0.0005,10,38,35.25090179363267,8896,3522,0.9265727274342123,0.01990828112633663
weak,weak_dt5e4,0.0005,10,39,36.17855710399143,8265,3142,0.9671701914395581,0.02095854847610842
