quarter,j,interval_start,interval_end,mean_I,se_mean_I,sample_count,mean_sin_theta,se_mean_sin_theta
2,96,500,1000,0.26412077777529763,0.005029497019542312,512,0.0002562343538193273,0.0013499811755227728
2,97,500,1000,0.265685496893654,0.005417718507224767,512,-0.00011838969386661573,0.0013910964224794389
2,98,500,1000,0.2632104876238913,0.005611447075996115,512,0.0009002519288767013,0.0012236611939322839
2,99,500,1000,0.2589590432955132,0.005221733812341364,512,-0.001089952669735185,0.0012551588549995641
2,100,500,1000,0.22227785171348435,0.003115537266446629,512,nan,nan
3,1,1000,1500,0.2380911968644323,0.0009233133394872421,512,0.0015340648249552971,0.0004192213952437845
3,2,1000,1500,0.22757785793665652,0.0015762162507108953,512,0.0030317028316156906,0.001286336839219358
3,3,1000,1500,0.2316261696962725,0.0017097386140222295,512,0.0036824651040497313,0.0013972038972238003
3,4,1000,1500,0.231211227020443,0.0017245988324503605,512,0.005844356931229578,0.001352864906589619
3,5,1000,1500,0.23289788086104968,0.0018389478063516112,512,0.00423713369595787,0.0013481463785154815
3,6,1000,1500,0.2334588670722598,0.0018221308615815857,512,0.0028747325365157533,0.001322222170281476
3,7,1000,1500,0.23493893145777092,0.001959413187635577,512,0.0033525731453492224,0.0013802362616627752
3,8,1000,1500,0.23681170899846682,0.0021908680585829093,512,0.0030227188603204206,0.0014021194125757922
3,9,1000,1500,0.23786317359973533,0.0022108017383353127,512,0.004103261732811955,0.0013472649992646586
3,10,1000,1500,0.23750090983167083,0.0022977896038682334,512,0.002865795657870643,0.0014142204584816943
3,11,1000,1500,0.23873736236488882,0.0024315403756991157,512,0.0030776254297504935,0.0013281197750367594
3,12,1000,1500,0.2403091839379733,0.002501572012604474,512,0.003431230327492257,0.0013775497880352161
3,13,1000,1500,0.2396097107334742,0.002511847254920568,512,0.00501870234007876,0.0014610964504473882
3,14,1000,1500,0.23990247733995368,0.002470070638410091,512,0.005593199706780997,0.0014077311864078886
3,15,1000,1500,0.24113766610838977,0.002499051911919639,512,0.004159699422724773,0.0013671096297968165
3,16,1000,1500,0.24059789990956748,0.002510795540362877,512,0.002749448015986291,0.0013791322998761661
3,17,1000,1500,0.24377470603767043,0.00268274110114185,512,0.0033289563884875677,0.0014242101180566237
3,18,1000,1500,0.243810978894415,0.0027063876669705315,512,0.005367307043093519,0.00143291718500866
3,19,1000,1500,0.2422619645147741,0.0026818165882508405,512,0.00484908698328834,0.0014955223495928653
3,20,1000,1500,0.24274268056895357,0.002760260353027148,512,0.0038141395791856042,0.0014989526195438902
3,21,1000,1500,0.24487401835257633,0.002701033694912011,512,0.003668086770818436,0.0014469978632246998
